SerialNo,Tdate,Scope,ItemNo,ItemName,ValMax,ValBig,ValAvg,ValLow,ValMin,IndustryType1,IndustryType2,IndustryType3
20210118011663,2019/12,A,612,资产负债率（％）,48.8,53.8,58.6,68.8,83.8,地方轻工业,1213,null
20210118007847,2019/12,A,BC,五、补充资料,,,,,,水上运输业,0304,
20210118008453,2019/12,A,640,成本费用利润率（％）,15.7,11.4,7.2,4.8,-5.2,计算机服务与软件业,0402,I65
20210118008654,2019/12,L,662,总资产周转率（次）,3.2,2.5,1.4,0.6,0.1,商业贸易,0501,"F512,F513,F514,F515,F522,F523,F524,F525,F528,F529"
20210118011352,2019/12,A,YL,一、盈利能力状况,,,,,,地方森林工业,1205,
20210118001384,2019/12,A,BC-EBITDAR,EBITDA率（％）,18.7,16.8,9.6,-4.5,-11,水泥及石膏制品制造业,010403,null
20210118002080,2019/12,S,648,净资产收益率（％）,7.1,4,1.1,-6.3,-13.4,森林工业,0106,C20
20210118001225,2019/12,A,YL-SCPM,盈余现金保障倍数,10.3,4,1.3,-0.5,-1,水泥制造业,010402,C301
20210118006524,2019/12,A,6025,销售（营业）利润增长率（％）,3.5,-1.6,-6,-18.9,-29.8,造纸及纸制品业,011506,C22
20210118004094,2019/12,S,703,总资产报酬率（％）,7.1,5.7,4.2,-1.7,-6.1,汽车制造业,01110402,C36
20210118007759,2019/12,A,YL-SCPM,盈余现金保障倍数,16.6,11.2,7.5,6.8,4.6,公共电汽车客运业,030301,G5411
20210118009865,2019/12,M,BC-EBITDAR,EBITDA率（％）,43.4,37.9,18.9,3.7,-5.5,房地产开发业,0701,K7010
20210118007957,2019/12,A,YL-SCPM,盈余现金保障倍数,11.3,3.3,1,0.5,-1,港口业,030401,G553
20210118007868,2019/12,L,612,资产负债率（％）,53.6,58.6,63.6,73.6,88.6,水上运输业,0304,G55
20210118005870,2019/12,M,BC-RC,成本费用占营业总收入比重（％）,90.6,94.6,97.7,101.1,109.3,电力供应业,011302,D442
20210118011089,2019/12,A,648,净资产收益率（％）,10.8,8.8,5.8,1.8,-4.1,畜牧业,1003,A03
20210118011853,2019/12,A,YL-ROC,资本收益率（％）,9.6,6.1,3.1,0.7,-5.2,地方社会服务业,18,null
20210118007458,2019/12,S,YL,一、盈利能力状况,,,,,,交通运输仓储及邮政业,03,
20210118002939,2019/12,A,703,总资产报酬率（％）,10.2,5.3,3.3,-0.1,-8.2,机械工业,0111,"C332,C333,C334,C336,C337,C338,C339,C341,C342,C343,C344,C345,C346,C347,C348,C349,C351,C352,C353,C354,C355,C356,C357,C358,C359,C361,C362,C363,C364,C365,C366,C371,C372,C373,C374,C375,C376,C377,C379,C381,C382,C383,C384,C385,C386,C387,C389,C34-C38,C40,C43"
20210118005854,2019/12,M,ZW,三、债务风险状况,,,,,,电力供应业,011302,
20210118002327,2019/12,A,717,现金流动负债比率（％）,46.4,38.9,29.8,22.3,7.3,烟草工业,0108,C16
20210118004876,2019/12,A,JY-TIR,技术投入比率（％）,12.2,10.8,8.1,5.9,5,专用仪器仪表制造业,01110602,C402
20210118000168,2019/12,L,6016,销售（营业）利润率（％）,17.7,11.3,6.3,-1.6,-6.4,工业,01,B
20210118010920,2019/12,S,BC-EVAR,经济增加值率（％）,5.8,1.4,-2.5,-7.7,-13.1,农林牧渔业,10,A01
20210118004553,2019/12,A,BC-CAR,资本积累率（％）,18.3,11.8,6.9,-7.1,-16,电机制造业,01110501,C381
20210118011827,2019/12,A,ZW,三、债务风险状况,,,,,,地方房地产业,17,
20210118009104,2019/12,A,BC-RC,成本费用占营业总收入比重（％）,89,95.7,98.5,99.4,100.9,机械设备、五金及电子产品批发,050202,F517
20210118011865,2019/12,A,707,带息负债比率（％）,14.9,31,47.7,59.1,66.2,地方社会服务业,18,null
20210118001406,2019/12,A,JY,四、经营增长状况,,,,,,砖瓦石材及其他建筑材料制造业,010404,
20210118004030,2019/12,L,YL-SCPM,盈余现金保障倍数,3,2.6,1.3,-0.1,-0.9,汽车制造业,01110402,C36
20210118003391,2019/12,A,JY-TIR,技术投入比率（％）,5.7,5.4,4.7,4.2,2.8,轴承制造业,01110204,C345
20210118010467,2019/12,A,YL-ROC,资本收益率（％）,16.8,10.3,4.6,0.9,-3.7,地质勘查业,0806,M747
20210118001793,2019/12,A,658,流动资产周转率（次）,3.5,2.6,1.6,1.2,0.7,肥料制造业,010502,C262
20210118005555,2019/12,L,658,流动资产周转率（次）,3.4,2.6,1.8,1.2,0.7,火力发电业,01130101,D4411
20210118002809,2019/12,M,YL-SCPM,盈余现金保障倍数,8,3.3,1,-0.1,-0.5,医药工业,0110,C27
20210118008965,2019/12,L,JY-CPAR,资本保值增值率（％）,116.3,111.9,104.5,95.8,90.1,物资贸易,0502,F516
20210118010497,2019/12,A,6016,销售（营业）利润率（％）,8.1,4.5,2.9,2.1,1.2,人力资源服务业,0807,null
20210118003182,2019/12,L,612,资产负债率（％）,48.6,53.6,58.6,68.6,83.6,通用设备制造业,011102,C34
20210118004333,2019/12,M,ZC-NPAR,不良资产比率（％）,0.1,0.5,2.2,7.3,14.7,船舶制造业,01110405,C373
20210118007865,2019/12,L,658,流动资产周转率（次）,2.5,2,1.4,1.2,1,水上运输业,0304,G55
20210118004702,2019/12,A,602,速动比率（％）,158.8,125.3,88,67.8,49.6,仪器仪表及文化办公用制造业,011106,null
20210118006975,2019/12,M,ZC-RRCA,资产现金回收率（％）,9.6,5.7,2.2,-1.6,-6.4,房屋和土木工程建筑业,0201,null
20210118002407,2019/12,M,BC-EBITDAR,EBITDA率（％）,33.7,22.5,10.6,8.4,7.3,烟草工业,0108,C16
20210118010952,2019/12,A,BC-RC,成本费用占营业总收入比重（％）,70.7,85.4,97.6,107.3,118.9,农业,1001,A01
20210118003819,2019/12,A,697,总资产增长率（％）,32.8,22.5,9.5,-1,-8.8,电子和电工机械专用设备制造业,01110306,null
20210118003701,2019/12,A,640,成本费用利润率（％）,8.4,5.2,2.6,-4.2,-11.7,轻纺设备制造业,01110303,C355
20210118003721,2019/12,A,JY-TIR,技术投入比率（％）,4.6,4.3,3.9,3.4,2.5,轻纺设备制造业,01110303,C355
20210118005936,2019/12,A,BC-RC,成本费用占营业总收入比重（％）,85.8,90,96.1,103.1,109.8,热力生产和供应业,011303,D443
20210118006139,2019/12,A,648,净资产收益率（％）,12.6,6.6,2.6,-8.6,-14.5,采盐业,011501,B103
20210118006079,2019/12,M,ZC,二、资产质量状况,,,,,,轻工业,0115,
20210118010503,2019/12,A,650,应收账款周转率（次）,27.4,22,18.7,8,2.1,人力资源服务业,0807,null
20210118004008,2019/12,A,6007,已获利息倍数,8.4,6.9,5.4,2.6,0.2,汽车制造业,01110402,C36
20210118000735,2019/12,M,650,应收账款周转率（次）,32.9,24.7,14.3,9.4,6.8,石油加工及炼焦业,010202,C25
20210118003317,2019/12,A,717,现金流动负债比率（％）,13.9,8,1.8,-4.2,-11.9,金属加工机械制造业,01110202,C342
20210118003688,2019/12,A,JY-TIR,技术投入比率（％）,4.3,3.8,3.1,2.5,1.1,化工木材非金属加工设备制造业,01110302,null
20210118011823,2019/12,A,650,应收账款周转率（次）,13.2,8.2,5,3.9,3.7,地方房地产业,17,null
20210118011014,2019/12,M,JY-TIR,技术投入比率（％）,0.8,0.6,0.5,0.4,0.3,农业,1001,A01
20210118006131,2019/12,S,BC,五、补充资料,,,,,,轻工业,0115,
20210118005005,2019/12,L,JY-CPAR,资本保值增值率（％）,113.1,110.3,107.6,104.3,100.9,电子工业,0112,C39
20210118004151,2019/12,A,BC,五、补充资料,,,,,,汽车整车制造业,0111040201,
20210118010960,2019/12,L,YL-SCPM,盈余现金保障倍数,6.7,4.4,1.1,-0.3,-2.4,农业,1001,A01
20210118006827,2019/12,L,BC-RC,成本费用占营业总收入比重（％）,93.7,95.5,96.8,99.5,102.5,建筑业,02,E47
20210118006074,2019/12,M,703,总资产报酬率（％）,9.3,6.1,3.6,0.2,-5,轻工业,0115,null
20210118006756,2019/12,S,697,总资产增长率（％）,15.4,5.6,0.3,-2.2,-7.8,其他工业,0116,null
20210118008105,2019/12,M,JY,四、经营增长状况,,,,,,机场,030501,
20210118001989,2019/12,A,650,应收账款周转率（次）,15.4,11,8,3.9,0.7,森林工业,0106,C20
20210118009909,2019/12,A,650,应收账款周转率（次）,38.2,20.2,7.2,5.2,3.7,物业管理业,0702,null
20210118008193,2019/12,L,650,应收账款周转率（次）,26.4,16.2,10.2,6.3,4.4,仓储业,0306,G59
20210118007183,2019/12,A,JY-CPAR,资本保值增值率（％）,114.4,109.4,108.8,104.7,100.8,土木工程建筑业,020102,E48
20210118008857,2019/12,A,ZW,三、债务风险状况,,,,,,医药及医疗器材批发与零售,050104,
20210118011484,2019/12,A,YL,一、盈利能力状况,,,,,,地方机械工业,1209,
20210118006943,2019/12,L,ZW,三、债务风险状况,,,,,,房屋和土木工程建筑业,0201,
20210118009154,2019/12,A,ZW,三、债务风险状况,,,,,,粮食业,0503,
20210118004730,2019/12,L,658,流动资产周转率（次）,1.9,1.4,1.2,1,0.3,仪器仪表及文化办公用制造业,011106,null
20210118005594,2019/12,M,717,现金流动负债比率（％）,38.1,28.9,17.3,12.1,1.9,火力发电业,01130101,D4411
20210118005463,2019/12,M,707,带息负债比率（％）,47.7,60,75.4,81.8,91.8,电力生产业,011301,D441
20210118002018,2019/12,L,640,成本费用利润率（％）,9.3,6,2,-4.4,-12.3,森林工业,0106,C20
20210118008156,2019/12,A,640,成本费用利润率（％）,5,2.5,1.8,-2.3,-7.2,仓储业,0306,G59
20210118001553,2019/12,L,703,总资产报酬率（％）,8.1,6.5,4,2.3,1.3,化学工业,0105,B1020
20210118007439,2019/12,M,612,资产负债率（％）,53.6,58.6,63.6,73.6,88.6,交通运输仓储及邮政业,03,G53
20210118007519,2019/12,A,BC-LJ,两金占流动资产比重（％）,24.5,29.9,43.7,59.8,70.2,铁路运输业,0301,G53
20210118008075,2019/12,L,6025,销售（营业）利润增长率（％）,15.4,13.7,10.8,0.5,-6.2,机场,030501,G5631
20210118003425,2019/12,A,BC,五、补充资料,,,,,,专用设备制造业,011103,
20210118004278,2019/12,A,6024,销售（营业）增长率（％）,7.5,2.4,-0.1,-11,-19.3,船舶制造业,01110405,C373
20210118007349,2019/12,A,6025,销售（营业）利润增长率（％）,27.6,17.3,7.2,-3.4,-24.1,建筑装饰业,0203,E50
20210118007335,2019/12,A,650,应收账款周转率（次）,14.2,8.5,2.5,1,0.5,建筑装饰业,0203,E50
20210118011487,2019/12,A,6016,销售（营业）利润率（％）,22.3,10.8,5.9,-0.3,-9.8,地方机械工业,1209,null
20210118001848,2019/12,A,YL,一、盈利能力状况,,,,,,化纤制造业,010504,
20210118010545,2019/12,A,707,带息负债比率（％）,19.5,33.6,55.7,65.6,79.7,市政公用业,0808,D443
20210118009762,2019/12,S,652,存货周转率（次）,4.4,1.7,0.7,0.4,0.3,房地产业,07,K70
20210118011418,2019/12,A,YL,一、盈利能力状况,,,,,,地方纺织工业,1207,
20210118009625,2019/12,A,JY-CPAR,资本保值增值率（％）,111.9,107.6,103.6,98.2,94.1,餐饮业,0602,H62
20210118001309,2019/12,M,JY-CPAR,资本保值增值率（％）,114.5,111.2,107.5,101.8,93.8,水泥制造业,010402,C301
20210118002596,2019/12,S,JY-CPAR,资本保值增值率（％）,108.1,104.4,101.5,96.9,92.5,纺织工业,0109,C17
20210118006886,2019/12,S,JY-CPAR,资本保值增值率（％）,112.3,105.6,101.9,95.1,90.1,建筑业,02,E47
20210118006066,2019/12,L,652,存货周转率（次）,10.1,7.3,4.8,3.7,2.7,轻工业,0115,null
20210118007316,2019/12,S,6025,销售（营业）利润增长率（％）,17.1,6.9,-2.6,-16.7,-29.7,建筑安装业,0202,E49
20210118008951,2019/12,L,662,总资产周转率（次）,4.9,3.5,2.2,1.3,0.9,物资贸易,0502,F516
20210118008629,2019/12,A,602,速动比率（％）,151.2,116.2,89,60.3,41.1,商业贸易,0501,"F512,F513,F514,F515,F522,F523,F524,F525,F528,F529"
20210118006928,2019/12,A,BC-EBITDAR,EBITDA率（％）,9,7,4.6,2.7,1.3,房屋和土木工程建筑业,0201,null
20210118002329,2019/12,A,ZW-CLR,或有负债比率（％）,0.2,0.8,2.2,5.7,8,烟草工业,0108,C16
20210118005195,2019/12,A,612,资产负债率（％）,48.6,53.6,58.6,68.6,83.6,电子元器件制造业,011204,null
20210118006932,2019/12,L,703,总资产报酬率（％）,6,4.6,3.6,2.4,1.8,房屋和土木工程建筑业,0201,null
20210118005564,2019/12,L,JY,四、经营增长状况,,,,,,火力发电业,01130101,
20210118008539,2019/12,L,JY-TIR,技术投入比率（％）,1.7,1.4,1.2,0.9,0.8,批发和零售贸易业,05,F51
20210118009066,2019/12,A,697,总资产增长率（％）,19.2,10,6,-16.6,-24.2,矿产品、建材及化工产品批发,050201,null
20210118007710,2019/12,A,6024,销售（营业）增长率（％）,26.9,17.8,5,-3.3,-9.8,高速公路,030201,null
20210118006009,2019/12,A,6016,销售（营业）利润率（％）,20.1,10.8,4.9,-0.8,-4.9,轻工业,0115,null
20210118008275,2019/12,S,JY-TIR,技术投入比率（％）,0.8,0.4,0.3,0.2,0.1,仓储业,0306,G59
20210118010590,2019/12,A,BC-EVAR,经济增加值率（％）,12.8,7.4,2,-5.3,-11.1,产权交易服务业,0809,null
20210118010901,2019/12,S,658,流动资产周转率（次）,2.1,1.3,1,0.7,0.5,农林牧渔业,10,A01
20210118003076,2019/12,A,ZC,二、资产质量状况,,,,,,金属制品业,011101,
20210118002578,2019/12,S,YL-SCPM,盈余现金保障倍数,10.3,7.4,3,-1.3,-5.7,纺织工业,0109,C17
20210118008583,2019/12,S,6016,销售（营业）利润率（％）,7.4,3.7,1.1,-0.4,-4.6,批发和零售贸易业,05,F51
20210118000858,2019/12,M,YL,一、盈利能力状况,,,,,,冶金工业,0103,
20210118002273,2019/12,A,BC-RC,成本费用占营业总收入比重（％）,9.3,3.7,0.7,-7,-11.1,食品加工业,010701,C13
20210118007716,2019/12,A,652,存货周转率（次）,55.6,37.5,10.4,6.4,4.8,高速公路,030201,null
20210118004772,2019/12,M,JY,四、经营增长状况,,,,,,仪器仪表及文化办公用制造业,011106,
20210118010661,2019/12,A,703,总资产报酬率（％）,8.2,6.6,3.7,-3.7,-7.9,传播与文化业,09,R85
20210118009836,2019/12,M,703,总资产报酬率（％）,7.6,5,3.2,0.2,-2.4,房地产开发业,0701,K7010
20210118002034,2019/12,L,6024,销售（营业）增长率（％）,11.5,3.8,-1.2,-12.8,-17.4,森林工业,0106,C20
20210118007834,2019/12,A,ZW,三、债务风险状况,,,,,,水上运输业,0304,
20210118001901,2019/12,A,JY,四、经营增长状况,,,,,,橡胶制品业,010505,
20210118003213,2019/12,M,ZC-RRCA,资产现金回收率（％）,13,7,1.9,-4.5,-10.6,通用设备制造业,011102,C34
20210118010834,2019/12,L,ZC-NPAR,不良资产比率（％）,0.7,2.8,5.9,12,17.6,农林牧渔业,10,A01
20210118007099,2019/12,M,YL-SCPM,盈余现金保障倍数,7.1,3.4,1.3,-0.7,-3,房屋建筑业,020101,E47
20210118006728,2019/12,M,BC-RC,成本费用占营业总收入比重（％）,87,90.5,94.1,99.6,104.1,其他工业,0116,null
20210118003148,2019/12,A,ZW,三、债务风险状况,,,,,,通用设备制造业,011102,
20210118010507,2019/12,A,ZW,三、债务风险状况,,,,,,人力资源服务业,0807,
20210118007491,2019/12,A,YL,一、盈利能力状况,,,,,,铁路运输业,0301,
20210118007965,2019/12,A,ZC-RRCA,资产现金回收率（％）,11.8,7.8,2.3,0.4,-5.7,港口业,030401,G553
20210118002509,2019/12,L,648,净资产收益率（％）,9.9,7,3.3,-1.6,-5.3,纺织工业,0109,C17
20210118004075,2019/12,M,602,速动比率（％）,102,96.1,82,64.6,55.6,汽车制造业,01110402,C36
20210118001003,2019/12,A,ZW,三、债务风险状况,,,,,,黑色金属冶炼业,010303,
20210118002817,2019/12,M,ZC-RRCA,资产现金回收率（％）,15.4,9.8,4.8,1.5,-1.8,医药工业,0110,C27
20210118008917,2019/12,A,ZC,二、资产质量状况,,,,,,物资贸易,0502,
20210118011931,2019/12,A,707,带息负债比率（％）,12.9,22.3,33.3,47.7,67.6,地方农林牧渔业,20,null
20210118002164,2019/12,L,ZW-CLR,或有负债比率（％）,0.1,1,2,7.1,13,食品工业,0107,C13
20210118004895,2019/12,A,658,流动资产周转率（次）,2.7,2.1,1.4,1,0.5,文化办公用机械制造业,01110603,null
20210118000833,2019/12,L,662,总资产周转率（次）,2.5,1.8,1.2,1,0.8,冶金工业,0103,"B08,B0911,B0912,B0913,B0914,B0915,B0916,B0917,B0919,B0921,B0922,B0929,B0931,B0932,B0939,C31,C32"
20210118011161,2019/12,A,ZC,二、资产质量状况,,,,,,地方国有企业,11,
20210118011120,2019/12,A,BC-CAR,资本积累率（％）,25.1,14.8,5.7,-6.5,-16.1,畜牧业,1003,A03
20210118009007,2019/12,M,BC-EBITDAR,EBITDA率（％）,8.2,4.6,1.2,-1.8,-2.7,物资贸易,0502,F516
20210118010728,2019/12,A,6016,销售（营业）利润率（％）,34.8,21.6,9.2,-6.6,-28.4,广播电影电视业,0902,R86
20210118002316,2019/12,A,YL-ROC,资本收益率（％）,28.2,21.3,16.7,8,-1,烟草工业,0108,C16
20210118003160,2019/12,A,JY-TIR,技术投入比率（％）,4.9,4.2,3.6,2.8,2,通用设备制造业,011102,C34
20210118009650,2019/12,A,612,资产负债率（％）,48.6,58.6,68.6,78.6,88.6,房地产业,07,K70
20210118010066,2019/12,A,648,净资产收益率（％）,17.6,10.1,5.5,1.2,-5.5,信息咨询服务业,0801,L722
20210118003291,2019/12,A,697,总资产增长率（％）,9.2,6.5,2,-6.4,-16.3,锅炉及原动机制造业,01110201,C341
20210118007797,2019/12,A,650,应收账款周转率（次）,14.9,10.8,7.1,2.8,0.4,轨道交通业,030302,G5412
20210118010477,2019/12,A,602,速动比率（％）,104.2,95.9,89.1,71,58.3,地质勘查业,0806,M747
20210118007846,2019/12,A,JY-TIR,技术投入比率（％）,0.5,0.4,0.3,0.2,0.1,水上运输业,0304,G55
20210118006710,2019/12,M,658,流动资产周转率（次）,2.8,2,1.3,1,0.6,其他工业,0116,null
20210118011945,2019/12,A,BC-CAR,资本积累率（％）,24,16.3,6.2,-2.2,-18,地方农林牧渔业,20,null
20210118000893,2019/12,S,703,总资产报酬率（％）,5.6,2.6,1.3,-3.2,-8,冶金工业,0103,"B08,B0911,B0912,B0913,B0914,B0915,B0916,B0917,B0919,B0921,B0922,B0929,B0931,B0932,B0939,C31,C32"
20210118010621,2019/12,A,BC-LJ,两金占流动资产比重（％）,14.6,22.7,33.3,40.2,47.1,市场管理服务业,0810,L7291
20210118006363,2019/12,A,652,存货周转率（次）,8.2,6.7,4.9,3,2.2,啤酒制造业,01150202,C1513
20210118003031,2019/12,M,BC-LJ,两金占流动资产比重（％）,37.8,47.8,57.1,70.6,75,机械工业,0111,"C332,C333,C334,C336,C337,C338,C339,C341,C342,C343,C344,C345,C346,C347,C348,C349,C351,C352,C353,C354,C355,C356,C357,C358,C359,C361,C362,C363,C364,C365,C366,C371,C372,C373,C374,C375,C376,C377,C379,C381,C382,C383,C384,C385,C386,C387,C389,C34-C38,C40,C43"
20210118007534,2019/12,A,ZC-NPAR,不良资产比率（％）,0.3,0.8,2.3,3.7,18,地方铁路,030101,G53
20210118005826,2019/12,L,707,带息负债比率（％）,31.8,45.9,55.6,65.2,81.2,电力供应业,011302,D442
20210118009138,2019/12,A,BC-EVAR,经济增加值率（％）,13.2,8.3,2.8,-4.6,-14.4,汽车、摩托车、燃料及零配件专门零售,050203,F526
20210118010103,2019/12,A,640,成本费用利润率（％）,16.1,12.2,7.7,3.1,-3,公共设施管理业,0802,N78
20210118009308,2019/12,A,703,总资产报酬率（％）,5,3.9,2.5,0.5,-0.6,粮油仓储,050302,G591
20210118010387,2019/12,A,JY-TIR,技术投入比率（％）,1.2,0.8,0.4,0.3,0.2,公益性投资公司,080501,null
20210118009282,2019/12,A,650,应收账款周转率（次）,25.4,19.5,12.4,7.5,3.3,粮油批发与零售,050301,F511
20210118008348,2019/12,L,BC-CAR,资本积累率（％）,17.7,10.2,9.1,4.2,-3.8,信息技术服务业,04,I63
20210118003766,2019/12,A,YL-SCPM,盈余现金保障倍数,4.4,2.8,1.6,0.9,-0.5,医疗仪器设备制造业,01110305,C358
20210118001178,2019/12,S,6025,销售（营业）利润增长率（％）,26.7,21.7,7,3.2,-3.2,建材工业,0104,"B109,B101,C30,C331,C335"
20210118010003,2019/12,M,YL-SCPM,盈余现金保障倍数,7.2,4.4,1.6,0.3,-1.6,社会服务业,08,L
20210118001730,2019/12,M,612,资产负债率（％）,48.6,53.6,58.6,68.6,83.6,基础化学原料制造业,010501,C261
20210118006195,2019/12,A,697,总资产增长率（％）,17.9,10.9,5.4,-9.7,-15.8,酒和饮料制造业,011502,C15
20210118008943,2019/12,L,YL,一、盈利能力状况,,,,,,物资贸易,0502,
20210118005408,2019/12,A,BC-RC,成本费用占营业总收入比重（％）,67.8,80,90.4,100.5,110.7,电力生产业,011301,D441
